,,competitive_ratio,competitive_ratio,competitive_ratio,competitive_ratio,regret,regret,total_reward,total_reward,acceptance_rate,elapsed_time
,,mean,std,min,max,mean,std,mean,std,mean,mean
algorithm,rho,,,,,,,,,,
Greedy,0.7,0.4044,,0.4044,0.4044,80768988.7345,,54831477.8923,,0.093,0.5707
Greedy,1.0,0.3568,,0.3568,0.3568,96170359.3813,,53336815.343,,0.083,0.6124
Oracle,0.7,0.9893,,0.9893,0.9893,1452079.8138,,134148386.8131,,0.199,0.0072
Oracle,1.0,0.9998,,0.9998,0.9998,32392.4011,,149474782.3233,,0.313,0.0072
Random,0.7,0.883,,0.883,0.883,15868598.1543,,119731868.4725,,0.253,0.0056
Random,1.0,0.8445,,0.8445,0.8445,23254967.3262,,126252207.3982,,0.383,0.0041
SP-UCB-OLP,0.7,0.1855,,0.1855,0.1855,110450645.4041,,25149821.2228,,0.041,0.6505
SP-UCB-OLP,1.0,0.0187,,0.0187,0.0187,146717812.7356,,2789361.9888,,0.014,0.4306
