algorithm,alpha,rho,seed,total_reward,regret,competitive_ratio,acceptance_rate,total_accepts,V_mix,T,K,d,elapsed_time
SP-UCB-OLP,0.0,0.7,42,3227.850331197796,70.97634851780958,0.9784843656824285,0.3616,1808,0.6597653359431211,5000,3,2,2.365133047103882
SP-UCB-OLP,0.01,0.7,42,3225.8156910034413,73.01098871216436,0.9778675887517502,0.3614,1807,0.6597653359431211,5000,3,2,5.431046962738037
SP-UCB-OLP,0.05,0.7,42,3197.303963728976,101.52271598662946,0.96922459836678,0.3552,1776,0.6597653359431211,5000,3,2,7.169166088104248
SP-UCB-OLP,0.1,0.7,42,3165.734537888907,133.09214182669848,0.9596547030963832,0.3482,1741,0.6597653359431211,5000,3,2,6.465437889099121
SP-UCB-OLP,0.5,0.7,42,3062.1730986471953,236.6535810684104,0.928261286801278,0.3614,1807,0.6597653359431211,5000,3,2,6.1286797523498535
SP-UCB-OLP,1.0,0.7,42,3036.9829715964092,261.84370811919644,0.9206251999447966,0.3684,1842,0.6597653359431211,5000,3,2,5.805436134338379
Random,,0.7,42,2025.9437445940591,1272.8829351215466,0.6141407055579886,0.2338,1169,0.6597653359431211,5000,3,2,0.021364927291870117
Oracle,,0.7,42,3297.6194989866326,1.2071807289730714,0.9996340575464616,0.3688,1844,0.6597653359431211,5000,3,2,0.048169851303100586
SP-UCB-OLP,0.0,0.7,43,3220.1600732862335,82.18252717896257,0.975113870024453,0.3618,1809,0.6604685200930392,5000,3,2,2.050940990447998
SP-UCB-OLP,0.01,0.7,43,3219.0519532332924,83.29064723190368,0.9747783142729738,0.363,1815,0.6604685200930392,5000,3,2,5.9815239906311035
SP-UCB-OLP,0.05,0.7,43,3205.5581341974694,96.78446626772666,0.9706921788629402,0.3584,1792,0.6604685200930392,5000,3,2,6.867750883102417
SP-UCB-OLP,0.1,0.7,43,3169.0327482995035,133.30985216569252,0.9596317316843767,0.3572,1786,0.6604685200930392,5000,3,2,6.485335111618042
SP-UCB-OLP,0.5,0.7,43,3075.8813542408507,226.46124622434536,0.9314240605464605,0.3652,1826,0.6604685200930392,5000,3,2,6.050665855407715
SP-UCB-OLP,1.0,0.7,43,3035.8556268751263,266.48697359006974,0.9193036562734194,0.3658,1829,0.6604685200930392,5000,3,2,5.976465225219727
Random,,0.7,43,2014.1817546291895,1288.1608458360065,0.6099251344622617,0.2338,1169,0.6604685200930392,5000,3,2,0.020959138870239258
Oracle,,0.7,43,3301.395165309096,0.947435156100255,0.999713102100319,0.371,1855,0.6604685200930392,5000,3,2,0.03782296180725098
SP-UCB-OLP,0.0,0.7,44,2029.521088315992,1268.1888224329327,0.6154334805801881,0.3584,1792,0.659541982149785,5000,3,2,2.623723030090332
SP-UCB-OLP,0.01,0.7,44,3237.418770672882,60.291140076042666,0.9817172699516343,0.3628,1814,0.659541982149785,5000,3,2,4.958068132400513
SP-UCB-OLP,0.05,0.7,44,3178.095900889679,119.61400985924593,0.9637281589052564,0.3544,1772,0.659541982149785,5000,3,2,6.7666847705841064
SP-UCB-OLP,0.1,0.7,44,3154.244738616167,143.46517213275774,0.9564955147615831,0.3456,1728,0.659541982149785,5000,3,2,6.442867994308472
SP-UCB-OLP,0.5,0.7,44,3073.603883589242,224.10602715968298,0.9320419220534812,0.359,1795,0.659541982149785,5000,3,2,6.211028337478638
SP-UCB-OLP,1.0,0.7,44,3057.2724183689816,240.43749237994325,0.9270895564233124,0.3576,1788,0.659541982149785,5000,3,2,5.962531089782715
Random,,0.7,44,2010.2329759517554,1287.4769347971694,0.6095845390764594,0.2338,1169,0.659541982149785,5000,3,2,0.021064043045043945
Oracle,,0.7,44,3295.3151875146204,2.394723234304365,0.9992738223497165,0.3652,1826,0.659541982149785,5000,3,2,0.03766202926635742
