algorithm,alpha,rho,seed,noise_sigma,total_reward,regret,competitive_ratio,acceptance_rate,V_mix,T,elapsed_time
SP-UCB-OLP,0.0,0.7,42,0.1,485977.40795801114,21144.503483878216,0.9583048907830496,0.3326,101.42438228837787,5000,3.0764620304107666
SP-UCB-OLP,0.01,0.7,42,0.1,485132.9904998133,21988.920942076074,0.9566397735022819,0.3408,101.42438228837787,5000,3.555082082748413
SP-UCB-OLP,0.1,0.7,42,0.1,455910.78776195226,51211.123679937096,0.8990161487317131,0.3402,101.42438228837787,5000,5.535216808319092
Oracle,,0.7,42,0.1,506787.0012012074,334.9102406819584,0.9993395863339257,0.3586,101.42438228837787,5000,0.03633522987365723
SP-UCB-OLP,0.0,0.7,43,0.1,494722.7925631656,16914.168764987728,0.9669410733714773,0.3352,102.32739226563066,5000,2.2451889514923096
SP-UCB-OLP,0.01,0.7,43,0.1,488366.9586740521,23270.002654101234,0.9545185269772245,0.33,102.32739226563066,5000,2.8640940189361572
SP-UCB-OLP,0.1,0.7,43,0.1,462651.1150740584,48985.84625409491,0.9042566312509303,0.3436,102.32739226563066,5000,5.718618869781494
Oracle,,0.7,43,0.1,511261.2343130605,375.7270150928525,0.9992656374666179,0.3586,102.32739226563066,5000,0.04582691192626953
SP-UCB-OLP,0.0,0.7,44,0.1,487168.3689140296,21466.86723801185,0.9577951629926107,0.3316,101.72704723040829,5000,2.312411069869995
SP-UCB-OLP,0.01,0.7,44,0.1,477793.77864089893,30841.457511142537,0.9393642922883868,0.3304,101.72704723040829,5000,2.518448829650879
SP-UCB-OLP,0.1,0.7,44,0.1,449191.7605630075,59443.47558903397,0.8831314243214068,0.3356,101.72704723040829,5000,5.6005330085754395
Oracle,,0.7,44,0.1,508167.6107853849,467.62536665657535,0.9990806272679921,0.36,101.72704723040829,5000,0.0390620231628418
SP-UCB-OLP,0.0,0.7,45,0.1,486422.10489285353,22477.483953054878,0.9558312004062929,0.3326,101.77991776918168,5000,2.3695013523101807
SP-UCB-OLP,0.01,0.7,45,0.1,485153.9795272945,23745.60931861389,0.9533393033929058,0.3344,101.77991776918168,5000,2.958919048309326
SP-UCB-OLP,0.1,0.7,45,0.1,454583.7161221057,54315.87272380269,0.8932679964490025,0.3416,101.77991776918168,5000,5.504300832748413
Oracle,,0.7,45,0.1,508804.5299181224,95.05892778601265,0.9998132069078665,0.3594,101.77991776918168,5000,0.03730297088623047
SP-UCB-OLP,0.0,0.7,46,0.1,485865.60199563403,21463.07992709946,0.9576939355256711,0.328,101.4657363845467,5000,2.653045177459717
SP-UCB-OLP,0.01,0.7,46,0.1,485843.3965759891,21485.285346744407,0.9576501662288894,0.329,101.4657363845467,5000,3.158133029937744
SP-UCB-OLP,0.1,0.7,46,0.1,456915.5604346002,50413.12148813327,0.9006302555237529,0.3404,101.4657363845467,5000,5.737378120422363
Oracle,,0.7,46,0.1,507222.40941894444,106.27250378904864,0.9997905253387482,0.3588,101.4657363845467,5000,0.037796735763549805
SP-UCB-OLP,0.0,0.7,42,0.3,516910.3652117589,19976.130302499747,0.9627926377932722,0.3356,107.37729910285174,5000,3.08015513420105
SP-UCB-OLP,0.01,0.7,42,0.3,501620.87369712803,35265.621817130595,0.9343145672096831,0.3408,107.37729910285174,5000,3.460623025894165
SP-UCB-OLP,0.1,0.7,42,0.3,473374.1811222171,63512.31439204153,0.8817025294495329,0.3402,107.37729910285174,5000,5.424161911010742
Oracle,,0.7,42,0.3,536797.6369108841,88.85860337456688,0.9998344927575624,0.3622,107.37729910285174,5000,0.03738808631896973
SP-UCB-OLP,0.0,0.7,43,0.3,531611.9066224088,17603.074609486735,0.9679486627076289,0.3368,109.8429962463791,5000,2.072981834411621
SP-UCB-OLP,0.01,0.7,43,0.3,509928.96836547594,39286.012866419565,0.9284687887094766,0.355,109.8429962463791,5000,5.514747858047485
SP-UCB-OLP,0.1,0.7,43,0.3,491811.5801357109,57403.40109618462,0.8954809991391202,0.3482,109.8429962463791,5000,5.210306167602539
Oracle,,0.7,43,0.3,548805.415124357,409.56610753852874,0.999254269964341,0.3574,109.8429962463791,5000,0.03741002082824707
SP-UCB-OLP,0.0,0.7,44,0.3,519384.92569415347,20434.635904397874,0.9621454327370327,0.333,107.96391231971027,5000,2.2267000675201416
SP-UCB-OLP,0.01,0.7,44,0.3,514190.6899298359,25628.871668715437,0.9525232624160165,0.333,107.96391231971027,5000,3.2768352031707764
SP-UCB-OLP,0.1,0.7,44,0.3,490363.32331254304,49456.2382860083,0.9083837604188425,0.3494,107.96391231971027,5000,5.813766241073608
Oracle,,0.7,44,0.3,539678.1609530483,141.4006455030758,0.99973805942659,0.359,107.96391231971027,5000,0.03830981254577637
SP-UCB-OLP,0.0,0.7,45,0.3,527761.8843367287,14375.906850265223,0.9734829279862789,0.3384,108.42755823739878,5000,2.112074851989746
SP-UCB-OLP,0.01,0.7,45,0.3,505633.47876484314,36504.312422150804,0.9326659882126539,0.3348,108.42755823739878,5000,3.257427215576172
SP-UCB-OLP,0.1,0.7,45,0.3,489699.57315487985,52438.21803211409,0.9032751103417782,0.3508,108.42755823739878,5000,5.4093241691589355
Oracle,,0.7,45,0.3,542028.9780849073,108.81310208665673,0.9997992888452797,0.356,108.42755823739878,5000,0.03820395469665527
SP-UCB-OLP,0.0,0.7,46,0.3,385555.90996314964,150928.36834000103,0.7186714048408404,0.4294,107.29685566063014,5000,1.964043140411377
SP-UCB-OLP,0.01,0.7,46,0.3,495644.09428598784,40840.18401716283,0.923874406634363,0.3246,107.29685566063014,5000,2.6388320922851562
SP-UCB-OLP,0.1,0.7,46,0.3,486733.3318490454,49750.94645410526,0.9072648566488046,0.3334,107.29685566063014,5000,6.123317003250122
Oracle,,0.7,46,0.3,535398.4095049944,1085.868798156269,0.9979759541107323,0.3562,107.29685566063014,5000,0.03766298294067383
SP-UCB-OLP,0.0,0.7,42,0.5,583312.1480523031,19098.353969177,0.968296777853159,0.3346,120.48210040429603,5000,2.8659682273864746
SP-UCB-OLP,0.01,0.7,42,0.5,564233.3914397837,38177.11058169638,0.9366260872717403,0.3382,120.48210040429603,5000,4.219583988189697
SP-UCB-OLP,0.1,0.7,42,0.5,539703.1692692882,62707.33275219193,0.8959059768351184,0.3524,120.48210040429603,5000,5.470081806182861
Oracle,,0.7,42,0.5,602307.086966256,103.41505522408988,0.9998283312543904,0.3612,120.48210040429603,5000,0.038376808166503906
SP-UCB-OLP,0.0,0.7,43,0.5,609659.6890892517,12512.510015425272,0.9798889920934573,0.3388,124.4344398209354,5000,2.2063989639282227
SP-UCB-OLP,0.01,0.7,43,0.5,583154.889531707,39017.30957296991,0.9372885679734374,0.3492,124.4344398209354,5000,5.11794900894165
SP-UCB-OLP,0.1,0.7,43,0.5,555282.465986284,66889.733118393,0.8924900000118148,0.3466,124.4344398209354,5000,5.046684741973877
Oracle,,0.7,43,0.5,621797.0508124245,375.14829225244466,0.9993970346267604,0.3552,124.4344398209354,5000,0.038305044174194336
SP-UCB-OLP,0.0,0.7,44,0.5,586473.3436991323,18234.62239006569,0.9698455727183591,0.3326,120.9415932178396,5000,2.1363539695739746
SP-UCB-OLP,0.01,0.7,44,0.5,588674.4451744421,16033.520914755878,0.9734855139771867,0.341,120.9415932178396,5000,2.8530707359313965
SP-UCB-OLP,0.1,0.7,44,0.5,549356.7977482855,55351.168340912554,0.908466282164459,0.3444,120.9415932178396,5000,4.939229726791382
Oracle,,0.7,44,0.5,604189.9282937945,518.0377954035066,0.9991433256638674,0.355,120.9415932178396,5000,0.03833603858947754
SP-UCB-OLP,0.0,0.7,45,0.5,594019.8954118555,17394.93025333807,0.9715497081144326,0.3298,122.28296513303872,5000,3.467294931411743
SP-UCB-OLP,0.01,0.7,45,0.5,575477.5381094627,35937.2875557309,0.9412227410144453,0.326,122.28296513303872,5000,3.124721050262451
SP-UCB-OLP,0.1,0.7,45,0.5,546078.9127355164,65335.91292967717,0.8931397961137196,0.3442,122.28296513303872,5000,5.496932029724121
Oracle,,0.7,45,0.5,609601.8804444445,1812.9452207491267,0.9970348360153408,0.3512,122.28296513303872,5000,0.03800511360168457
SP-UCB-OLP,0.0,0.7,46,0.5,577476.4895282503,23163.873910611495,0.961434703159157,0.3328,120.12807268777236,5000,2.305299997329712
SP-UCB-OLP,0.01,0.7,46,0.5,572639.3968758418,28000.966563020018,0.9533814770577432,0.3326,120.12807268777236,5000,4.194157838821411
SP-UCB-OLP,0.1,0.7,46,0.5,539912.9271129835,60727.436325878254,0.89889551215274,0.343,120.12807268777236,5000,5.4428722858428955
Oracle,,0.7,46,0.5,600585.0141217145,55.34931714728009,0.999907849487786,0.3574,120.12807268777236,5000,0.03770017623901367
SP-UCB-OLP,0.0,0.7,42,1.0,964149.1319267666,16027.436743626604,0.9836484188095133,0.3456,196.03531373407864,5000,1.9614031314849854
SP-UCB-OLP,0.01,0.7,42,1.0,946852.8289383536,33323.73973203963,0.966002309382642,0.339,196.03531373407864,5000,2.85957932472229
SP-UCB-OLP,0.1,0.7,42,1.0,880295.6361080268,99880.93256236636,0.898099040769915,0.3474,196.03531373407864,5000,4.42902398109436
Oracle,,0.7,42,1.0,975162.5668403513,5014.001830041874,0.9948845932556383,0.3642,196.03531373407864,5000,0.03827476501464844
SP-UCB-OLP,0.0,0.7,43,1.0,1012151.720904109,11619.277814501547,0.9886505108769005,0.3428,204.7541997437221,5000,1.9573979377746582
SP-UCB-OLP,0.01,0.7,43,1.0,953988.6841202225,69782.31459838804,0.9318379650471345,0.328,204.7541997437221,5000,3.121438980102539
SP-UCB-OLP,0.1,0.7,43,1.0,899599.5207558622,124171.47796274826,0.8787116668491627,0.353,204.7541997437221,5000,3.65508770942688
Oracle,,0.7,43,1.0,1022880.3991756004,890.5995430101175,0.9991300793398867,0.3556,204.7541997437221,5000,0.037628889083862305
SP-UCB-OLP,0.0,0.7,44,1.0,951902.2711510039,16470.018311080057,0.9829920594689581,0.3376,193.6744578924168,5000,2.0327320098876953
SP-UCB-OLP,0.01,0.7,44,1.0,944222.8573800733,24149.432082010666,0.9750618307186121,0.343,193.6744578924168,5000,2.3911962509155273
SP-UCB-OLP,0.1,0.7,44,1.0,849476.5288765392,118895.76058554475,0.877221021419779,0.3416,193.6744578924168,5000,5.086817979812622
Oracle,,0.7,44,1.0,968152.3057521125,219.98370997142047,0.9997728314695027,0.3562,193.6744578924168,5000,0.039689064025878906
SP-UCB-OLP,0.0,0.7,45,1.0,938040.1121396326,64169.171449453104,0.9359722839329006,0.3434,200.44185671781713,5000,2.5710670948028564
SP-UCB-OLP,0.01,0.7,45,1.0,937649.7861174381,64559.49747164757,0.9355828183506255,0.318,200.44185671781713,5000,3.368504047393799
SP-UCB-OLP,0.1,0.7,45,1.0,870540.1033069032,131669.18028218253,0.8686210730251347,0.3454,200.44185671781713,5000,3.867840051651001
Oracle,,0.7,45,1.0,1001198.356044911,1010.9275441747159,0.998991300958065,0.3462,200.44185671781713,5000,0.038558006286621094
SP-UCB-OLP,0.0,0.7,46,1.0,956148.2675819236,13004.343800457194,0.9865817378525059,0.3456,193.83052227647616,5000,2.1513819694519043
SP-UCB-OLP,0.01,0.7,46,1.0,948153.4331897167,20999.17819266417,0.9783324339778527,0.3346,193.83052227647616,5000,3.5357258319854736
SP-UCB-OLP,0.1,0.7,46,1.0,842004.714703658,127147.89667872281,0.8688050827233892,0.3376,193.83052227647616,5000,4.926364898681641
Oracle,,0.7,46,1.0,968741.3045202448,411.30686213599984,0.9995756015540738,0.3542,193.83052227647616,5000,0.03878188133239746
